Star,30000,Sol,0,0,0,1,1,1,G2 V,,Sol
Star,30001,Gliese 1068,-1.949944449,-15.93705024,-16.10554037,0.5,,,M4.5 V,,22.7415981
Star,30002,LHS 3746,14.46107426,1.632254625,-19.44497806,0.5,,,M3 V,,24.2877355
White Dwarf,30003,Gliese 293 (WD 0752-676),4.315750048,-23.97752833,-8.594854554,0.59,,,DC9,,25.83445545
Star,30004,Gliese 300,-12.31759422,-22.64816784,3.111644172,0.5,,,M3.5 V,,25.96815287
White Dwarf,30005,Gliese 915 (WD 2359-434),7.581628907,-4.090556008,-25.17704699,0.85,,,DA5,,26.61010035
Star,30006,SCR 1138-7721,12.43030829,-22.5595488,-6.937625942,0.5,,,M5 V,,26.67539053
Star,30007,AP Columbae,-12.14014875,-21.85071418,-11.12381625,0.5,,,M4.5Ve,,27.3601208
White Dwarf,30008,Gliese 1276 (WD 2251-070),7.011109884,14.1494452,-22.95569521,0.5,,,DZ9,,27.86263455
Star,30009,G 089-032 AB,-23.17750409,-14.29825605,6.389605074,0.5,,,M4.5 V,,27.97255575
Star,30010,Gliese 1207,25.15217875,6.692344314,11.02453881,0.5,,,M3.5 V,,28.26588093
Star,30011,SCR 0630-7643 AB,7.820893068,-24.09829734,-13.20511351,0.5,,,M5 V,,28.57042747
White Dwarf,30012,Gliese 318 (WD 0839-327),-7.617609185,-27.53339608,2.790304906,0.5,,,DA6,,28.70368741
Star,30013,Gliese 1123,10.63033143,-25.59341596,-9.829840278,0.5,,,M4.5 V,,29.40497656
White Dwarf,30014,Gliese 2012 (WD 0038-226),-0.330077901,2.700072491,-29.38040677,0.5,,,DQ9,,29.50606115
Multiple,30015,Gliese 283,-17.46193446,-23.9992157,1.288950513,,,,,,29.70762365
White Dwarf,30015,Gliese 283 A (WD 0738-172),-17.46193446,-23.9992157,1.288950513,0.5,,,DZQ,,29.70762365
Star,30015,Gliese 283 B,-17.46193446,-23.9992157,1.288950513,0.5,,,M6 V,,29.70762365
Star,30017,LHS 2206,-16.72278247,-10.33691771,22.78124736,0.5,,,M4.5 V,,30.09133684
Star,30018,WT 460,21.60109951,-18.95394273,9.809571432,0.5,,,M5.5 V,,30.36588772
Star,30019,APMPM J0237-5928,3.618562313,-18.59532168,-25.09947401,0.5,,,M5 V,,31.44620131
Star,30020,Wolf 227,-28.22306637,3.41580416,-14.93188987,0.5,,,M4.5 V,,32.11184405
Star,30021,LHS 1302,-12.98786733,4.823945432,-29.24799378,0.5,,,M5 V,,32.3635642
Star,30022,Gliese 1277,17.14237018,-11.68951936,-26.24900785,0.5,,,M4 V,,33.45917111
Star,30023,LHS 5156,8.057743316,-32.97185821,-4.790138141,0.5,,,M4.5 V,,34.27850762
Star,30024,LHS 3583,19.54193267,-22.17711581,-17.6634406,0.5,,,M2.5 V,,34.43412162
White Dwarf,30025,SCR 0821-6703 (WD 0821-669),6.261711855,-32.68132429,-9.974319211,0.5,,,DA9.8,,34.7385238
Star,30026,Gliese 1129,-9.276440984,-29.8252938,15.20409578,0.5,,,M3.5 V,,34.7385238
Star,30027,Gliese 1050,-7.921875493,-11.90446517,-31.71999029,0.5,,,M3.5 V,,34.79411137
Star,30028,LHS 2836,21.67870168,-15.76708096,22.69619687,0.5,,,M4 V,,35.12384234
Star,30029,Gliese 438,13.33929109,-32.43104903,5.948459189,0.5,,,M1 V,,35.56815703
Star,30030,LHS 306,2.612502413,-26.32762279,25.21574263,0.5,,,M4.5 V,,36.5486329
Star,30031,Gliese 1025,-9.077531853,11.1877969,-34.2864273,0.5,,,M3.5 V,,37.19042189
Star,30032,Gliese 1088,-11.22393882,-31.97282607,-16.00834295,0.5,,,M3.5 V,,37.47673216
Star,30033,LHS 547,11.89657241,-0.484962288,-35.90157874,0.5,,,M4.5 V,,37.82442305
Star,30034,LHS 1050,-8.555701111,23.72452432,-28.41350569,0.5,,,M3 V,,37.99184624
Star,30035,LHS 510,26.67447806,0.589178255,-28.46480129,0.5,,,M1.5 V,,39.01435407
Star,30036,ER2,22.04575732,-28.94996694,14.09724691,0.5,,,M V,,39.02368988
Star,30037,LHS 281,4.915911956,-38.59185269,5.301626054,0.5,,,M3.5 V,,39.26327194
Star,30038,LHS 475,22.91842813,-26.09828738,-18.33967416,0.5,,,M3 V,,39.27745665
Star,30040,LHS 3413,34.1336762,-13.4309357,-15.11717022,0.5,,,M3.5 V,,39.6740056
Star,30041,LHS 512,25.89579452,5.388511486,-29.69342399,0.5,,,M3.5 V,,39.76591075
Star,30042,WT 1827,-6.26186732,-29.18707914,27.03161657,0.5,,,M V,,40.27163847
Star,30043,LHS 4009 AB,5.511057502,11.93088103,-38.60987658,0.5,,,M4.5 V,,40.78529449
Star,30044,LHS 3295,25.54015496,-27.4053875,-16.15295055,0.5,,,M3 V,,40.79549719
Star,30045,LHS 1777,-33.75343693,-19.41259808,-12.55970356,0.5,,,M5.5 V,,40.91319619
Star,30046,Gliese 1251,25.75466782,-23.79115398,-21.7797019,0.5,,,M4.5 V,,41.27562642
Star,30047,LHS 2520,9.035008628,-27.28696259,30.42136244,0.5,,,M3.5 V,,41.85294495
Star,30048,LHS 176,-27.62244346,-7.462785199,-30.6625416,0.5,,,M V,,41.93905105
Star,30049,Gliese 1001 A,11.06922115,-5.08739156,-40.64936284,0.5,,,M4 V,,42.43559719
Star,30050,Gliese 1158,21.16693816,-36.87447572,5.03045739,0.5,,,M4 V,,42.81438698
Star,30051,LHS 2899,24.42192712,-7.018891614,35.53554592,0.5,,,M3.5 V,,43.6860434
Star,30052,LHS 1955 A,-17.87328607,-40.05243506,-0.49870945,0.5,,,M4 V,,43.86229155
Star,30053,LHS 272,-12.11556992,-37.71759202,19.38786451,0.5,,,M2 V,,44.10547667
Multiple,30054,Gliese 810,30.83585429,20.62758842,-24.81003737,,,,,,44.63054187
Star,30054,Gliese 810 A,30.83585429,20.62758842,-24.81003737,0.5,,,M4 V,,44.63054187
Star,30054,Gliese 810 B,30.83585429,20.62758842,-24.81003737,0.5,,,M4.5 V,,44.63054187
Star,30055,LHS 2718,25.27648544,-30.68371929,20.33903174,0.5,,,M3.5 V,,44.65498357
Star,30056,LHS 2010,-5.794441987,-44.32450921,-2.99987558,0.5,,,M3 V,,44.8021978
Star,30057,LHS 1351,9.025094328,-26.83409682,-35.74387678,0.5,,,M2.5 V,,45.59765134
Star,30058,Ross 848,28.25059387,-12.40413715,33.58226604,0.5,,,M4 V,,45.60402685
Star,30059,LHS 2729,24.54473123,-27.32340543,27.07477089,0.5,,,M3.5 V,,45.62954673
Star,30060,LHS 1807,-29.87658897,-31.30283335,-15.42155919,0.5,,,M3.5 V,,45.93802817
Star,30061,WT 795,31.54634577,-2.047512482,-34.65708139,0.5,,,M4 V,,46.90924781
Star,30062,LHS 1491,-22.12534327,-11.5630161,-41.55577647,0.5,,,M3.5 V,,48.47800238
Star,30063,LHS 2071 AB,-16.87205582,-44.35940287,11.44009113,0.5,,,M4 V,,48.81903907
Star,30064,LHS 2106,-16.48591747,-44.18643665,14.17735891,0.5,,,M4.5 V,,49.246565
Star,30065,Gliese 1147,14.76664278,-44.13984231,16.42764873,0.5,,,M3 V,,49.35835351
Star,30066,LHS 205,14.84866965,-39.99906356,-25.89540047,0.5,,,M3 V,,49.90971691
Star,30067,LHS 1358,-26.21258868,8.476649082,-41.69096398,0.5,,,M4 V,,49.97089015
Star,30068,LHS 1767,-25.56599097,-35.15243949,-24.66862985,0.5,,,M3.5 V,,49.97854735
Star,30069,LHS 2021,-37.43869278,-26.50893218,22.79888531,0.5,,,M8 V,,51.22663735
Star,30070,LHS 4058,11.69293005,-0.495318968,-50.31339875,0.5,,,M3.5 V,,51.65663605
Star,30071,Gliese 1157,23.47809211,-44.41109777,14.37899803,0.5,,,M4 V,,52.25248318
Star,30072,LHS 4021,3.233379998,19.90673645,-48.21269676,0.5,,,M4 V,,52.26085563
Star,30073,WT 178,0.791686752,-44.42825329,-28.12752588,0.5,,,M4.5 V,,52.58948726
Star,30074,LHS 1932,-5.122693456,-50.71065409,-13.29593729,0.5,,,M3.5 V,,52.6744186
Star,30075,LHS 346,29.10125634,-39.13427708,20.28590053,0.5,,,M3.5 V,,52.8194332
Star,30076,LTT 6933,44.43459249,-26.16621268,-13.76704244,0.5,,,M V?,,53.37260677
Star,30077,LHS 3719,33.74621599,-19.99759162,-37.26809107,0.5,,,M2 V,,54.10749834
Star,30078,LHS 3167,39.42853584,-34.81704635,-12.79458562,0.5,,,M4 V,,54.13443983
Star,30079,Gliese 633,51.10361932,-19.90568119,0.314125933,0.5,,,M3 V,,54.84445939
Star,30080,LHS 2122,9.970442303,-54.07161976,-8.706263003,0.5,,,M3.5 V,,55.66820276
Star,30081,WT 562,44.34796324,-26.62115771,-20.98847249,0.5,,,M4.5 V,,55.82064008
Multiple,30082,LHS 3001,26.6288913,10.6849653,49.31063728,,,,,,57.05090082
Star,30082,LHS 3001 A,26.6288913,10.6849653,49.31063728,0.5,,,M4.5 V,,57.05090082
Star,30082,LHS 3001 B,26.6288913,10.6849653,49.31063728,0.5,,,M6 V,,57.05090082
Star,30083,Gliese 808,33.63788027,-35.01609296,-30.40841926,0.5,,,M2.5 V,,57.2914105
Multiple,30084,LHS 225,-19.58278736,-52.01396099,-13.98840375,,,,,,57.31154454
Star,30084,LHS 225 A,-19.58278736,-52.01396099,-13.98840375,0.5,,,M3 V,,57.31154454
Star,30084,LHS 225 B,-19.58278736,-52.01396099,-13.98840375,0.5,,,M3 V,,57.31154454
Star,30085,WT 870,34.68890648,-4.089282055,-45.94817532,0.5,,,M4 V,,57.71721819
Star,30086,Gliese 1118,-14.30153259,-55.42571635,9.632468841,0.5,,,M3 V,,58.04591564
Star,30087,LHS 1630 AB,-30.40904438,-26.37247636,-41.83671135,0.5,,,M3.5 V,,58.05624778
Star,30089,LHS 3197,55.17225181,-1.180566845,21.62177749,0.5,,,M4.5 V,,59.26948937
Star,30090,LHS 3909,14.33393558,22.34751856,-53.14748655,0.5,,,M3 V,,59.40983607
Star,30091,LHS 2401,4.432826014,-45.78439155,38.33554632,0.5,,,M3 V,,59.87883238
Star,30093,LHS 3218,58.31880109,-8.023749651,14.10550008,0.5,,,M4 V,,60.53452116
Star,30094,LHS 2328,-6.566807653,-43.10912392,42.05182116,0.5,,,M3.5 V,,60.5794948
Star,30095,LHS 3169,57.37021112,-12.1823457,16.93112114,0.5,,,M3.5 V,,61.0443571
Star,30096,LHS 539,23.74553509,-0.209134948,-56.9627851,0.5,,,M V?,,61.71428571
Star,30097,LHS 423,61.22842698,-11.3844269,12.23155313,0.5,,,M3 V,,63.4676007
Multiple,30098,LHS 3738/3789,37.84802462,9.483163525,-50.71874718,,,,,,63.9905827
Star,30098,LHS 3739 A,37.84802462,9.483163525,-50.71874718,0.5,,,M3.5 V,,63.9905827
Star,30098,LHS 3738 B,37.84802462,9.483163525,-50.71874718,0.5,,,M4.5 V,,63.9905827
Star,30098,LHS 3738 C,37.84802462,9.483163525,-50.71874718,0.5,,,M4.5 V,,63.9905827
Star,30100,LHS 2335,6.296774601,-57.74340403,28.09219351,0.5,,,M2.5 V,,64.52225519
Star,30101,Gliese 1252,49.75787312,-16.91585084,-37.47566789,0.5,,,M2.5 V,,64.54779339
Star,30102,LP 600-043,-54.4485256,-34.59586321,-6.304748176,0.5,,,M V?,,64.81717011
Multiple,15077,RR Caeli,-11.5586097,-45.37556353,-46.01809118,,,,,,65.65217391
White Dwarf,15077,WD 0419-487 (RR Caeli A),-11.5586097,-45.37556353,-46.01809118,0.5,,,DAZ8,,65.65217391
Star,15077,RR Caeli B,-11.5586097,-45.37556353,-46.01809118,0.5,,,M4 V,,65.65217391
Star,30104,APMPM J2127-3844,45.74579627,3.302885799,-47.77252473,0.5,,,M V?,,66.22538071
Star,30105,HIP 3856,20.58080371,-31.26495001,-55.66983049,0.5,,,M2.5 V,,67.08350473
Star,30106,LHS 3443,62.82492715,-1.47074436,-23.67133707,0.5,,,M2 V,,67.15256331
Star,30108,APMPM J0544-4108,-22.96260279,-53.84988562,-33.35016055,0.5,,,M4 V,,67.3745094
Star,30109,LHS 1582 AB,-45.51470031,-14.66409133,-49.29787725,0.5,,,M4.5 V,,68.67972205
Star,30110,LHS 3925,30.05431198,-12.57683163,-61.52412335,0.5,,,M3.5 V,,69.61792956
Multiple,30111,LHS 2567/2568,14.86524776,-34.92352482,58.44988944,,,,,,69.69230769
Star,30111,LHS 2567 A,14.86524776,-34.92352482,58.44988944,0.5,,,M3.5 V,,69.69230769
Star,30111,LHS 2568 B,14.86524776,-34.92352482,58.44988944,0.5,,,M4 V,,69.69230769
Star,30112,LHS 406,61.02863031,-12.12859146,31.62251582,0.5,,,M2 VI,,69.79670447
Star,30113,LHS 1749 A,13.85493957,-57.67027512,-38.45964079,0.5,,,M2 V,,70.68920676
Star,30114,LHS 4039,17.88062021,0.963358359,-72.75648435,0.5,,,M4 V,,74.92763611
White Dwarf,30115,LHS 4040 (WD 2331-335),17.88166602,0.960809449,-72.75626103,0.5,,,DA5,,74.92763611
Star,30116,WT 244,25.84748815,-67.76629471,-20.33686214,0.5,,,M4.5 V,,75.3256351
Star,30117,LHS 1748,-37.02403887,-51.37244684,-41.1779544,0.5,,,M2.5 V,,75.53496989
Multiple,30118,Gliese 1226,67.14574748,36.46102246,8.429751771,,,,,,76.87013905
Star,30118,Gliese 1226 A,67.14574748,36.46102246,8.429751771,0.5,,,M3.5 V,,76.87013905
Star,30118,Gliese 1226 B,67.14574748,36.46102246,8.429751771,0.5,,,M3.5 V,,76.87013905
Star,30119,SCR 0342-6407,8.391502878,-55.81270468,-54.53004958,0.5,,,M4 V,,78.47930703
Star,30120,LHS 4016,16.96282682,8.690401137,-76.73760859,0.5,,,M2.5 V,,79.06909091
Star,30121,Gliese 1281,22.57428978,23.74196445,-72.19500767,0.5,,,M2.5 V,,79.28050559
Star,30122,LHS 3484,57.78070543,-41.61269596,-41.18790929,0.5,,,M3.5 V,,82.25977301
Star,30123,LHS 1656,-2.75234527,-60.54561898,-56.35591803,0.5,,,M V,,82.76072063
Star,30124,LHS 3147,76.48011954,-15.44951454,29.01883232,0.5,,,M3.5 V,,83.24655436
Star,30125,WT 135,-19.73776426,-53.78145952,-60.8091769,0.5,,,M3 VI,,83.54508197
Star,30126,Gliese 762,66.17667437,-32.69981445,-40.58319393,0.5,,,M2.5 V,,84.23553719
Star,30127,WT 248,25.84165533,-79.61464267,-13.89568008,0.5,,,M3 V,,84.8491155
White Dwarf,30128,L 064-040 (WD 0928-713),25.7751447,-77.91668269,-21.54077241,0.5,,,DA5.5,,84.8491155
White Dwarf,30129,Gliese 781.3 (WD 2007-219),71.30766209,27.13521125,-38.2281296,0.5,,,DA6,,85.33751962
White Dwarf,30130,LHS 3245 (WD 1647-327),85.79721296,-15.07485836,11.31058948,0.5,,,DA8.5,,87.84271479
Star,30131,LHS 3836,48.85597169,-38.35857474,-64.51236884,0.5,,,M3.5 V,,89.55518946
Star,30132,LHS 440,86.34698008,-23.36057786,-5.237379589,0.5,,,M1 VI,,89.6043956
Star,30133,LHS 3740,56.1442605,-26.0835198,-66.35707772,0.5,,,M3.5 V,,90.75125209
Star,30134,LHS 3080,37.30202803,37.73288985,74.94327366,0.5,,,M4 V,,91.82432432
Multiple,30135,LHS 193,-32.82597368,-62.43170784,-65.55887973,,,,,,93.83199079
White Dwarf,30135,LHS 193 A (WD 0430-391),-32.82597368,-62.43170784,-65.55887973,0.6,,,DC10.2,,93.83199079
Star,30135,LHS 193 B,-32.82597368,-62.43170784,-65.55887973,0.5,,,M0 VI,,93.83199079
Star,30137,LHS 1561,-66.0573637,-12.24566065,-67.68754856,0.5,,,M3.5 V,,95.36842105
Star,30138,LHS 300 AB,21.66574748,-91.41607024,30.4070274,0.5,,,M0 VI,,98.74659401
Star,30140,SCR 2115-7541,59.44569658,-55.37654102,-56.49778125,0.5,,,M3.5 V,,98.95631068
Multiple,30141,G 266-089,11.35466885,4.760558169,-98.55178757,0.5,,,,,99.31790499
Star,30141,G 266-089 A,11.35466885,4.760558169,-98.55178757,0.5,,,M4 VI?,,99.31790499
Star,30141,G 266-089 B,11.35466885,4.760558169,-98.55178757,0.5,,,M4 VI?,,99.31790499
Star,30143,SIPS 1529-2907,101.8310407,-37.51752656,44.36158653,0.5,,,M6.5 V,,117.2393961
Star,30144,LHS 158,-12.4376027,-60.40663187,-115.3221372,0.5,,,M VI,,130.7778669
Star,30145,LHS 323,47.74844531,-106.9441917,76.77922898,0.5,,,M4 V,,140.0429369
Star,30146,LTT 5066,80.95665796,-102.4551982,75.96761542,0.5,,,M3 V,,151.0699398
Star,30147,LHS 284,-20.08469412,-121.8806465,92.44346756,0.5,,,M4 V,,154.2857143
Star,30148,LHS 382,117.5857721,-43.63188592,95.50207901,0.5,,,K V?,,157.6413726
Star,30149,LHS 326,29.90066798,-80.61814073,134.8855508,0.5,,,M3 VI,,159.9607651
Star,30150,LHS 164,-44.95867301,-68.68921664,-149.1262596,0.5,,,M V?,,170.2296451
Star,30151,LHS 318,-31.05309646,-19.40875915,169.9589738,0.5,,,M2 VI,,173.8592751
Star,30152,2MASS 1207-3932,65.64928371,-148.9148243,67.55452621,0.5,,,M8 V,,176.2074554
Star,30153,LHS 521,87.37538319,29.73019086,-150.6623701,0.5,,,M0.5 VI,,176.6847237
Star,30154,LHS 3045,161.9601062,-74.27736076,71.44893096,0.5,,,K VI?,,191.9717481
Star,30155,LHS 347,20.66496313,-5.040790796,193.9086004,0.5,,,K2 VI,,195.0717703
Star,30156,LSR 0627+0616,-180.3173165,-82.60711,-8.360678577,0.5,,,M1.5 VI,,198.5149117
Star,30157,LHS 518,100.2023565,55.45678665,-169.8750742,0.5,,,M1 VI,,204.8743719
Star,30158,SCR 1107-4135,47.2101797,-205.2799524,65.29676032,0.5,,,M0.5 VI,,220.5273834
Star,30159,SCR 1916-3638,206.5895915,4.796042239,-77.43317144,0.5,,,M3 VI,,220.67659
Star,30160,LHS 125,27.98048101,-41.53004259,-228.2093684,0.5,,,M V?,,233.6389685
Star,30161,LHS 3620,183.9932301,60.28211883,-163.2112005,0.5,,,M2 VI,,253.2298137
Star,30162,LHS 327,103.4653314,-216.4637816,187.1060916,0.5,,,K4 VI,,304.2537313
Star,30163,LHS 3732,245.476164,-30.535386,-302.9058175,0.5,,,M VI?,,391.0791367
Star,30164,LHS 2734 A,430.4300202,-456.2835708,540.2006247,0.5,,,K7 VI/M1 VI,,827.8172589
Multiple,30165,Gliese 2130,47.30010879,-2.179436361,-1.451952697,,,,,,47.37254902
Star,30165,Gliese 2130 A,47.30010879,-2.179436361,-1.451952697,0.2,,,M1.5 V,,47.37254902
Star,30165,Gliese 2130 BC,47.30010879,-2.179436361,-1.451952697,0.2,,,M2.5 V,,47.37254902
